id,rg,ctr_n,ctr,yr,mn,unit_type,unit_name,unit_n,pty_n,pty,can,pev1,vot1,vv1,ivv1,to1,cv1,cvs1,pv1,pvs1,pev2,vot2,vv2,ivv2,to2,cv2,cvs2,pv2,pvs2
5,Latin America,Uruguay,598,1994,11,Department,Cerro Largo,3,Nacional,27,Alberto Volonté; Juan Andrés Ramírez; Carlos Julio Pereyra,-990,53536,53536,-990,-990,28053,0.515537987,28053,0.515537987,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Cerro Largo,3,FrenteAmplio,13,Tabaré Vázquez,-990,53536,53536,-990,-990,7736,0.142166681,7736,0.142166681,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Colonia,4,Colorado,7,Julio María Sanguinetti; Jorge Batlle Ibáñez; Jorge Pacheco Areco,-990,76854,76854,-990,-990,29762,0.372187843,29762,0.372187843,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Colonia,4,Nacional,27,Alberto Volonté; Juan Andrés Ramírez; Carlos Julio Pereyra,-990,76854,76854,-990,-990,30918,0.386644173,30918,0.386644173,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Colonia,4,FrenteAmplio,13,Tabaré Vázquez,-990,76854,76854,-990,-990,16174,0.202263489,16174,0.202263489,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Durazno,5,Colorado,7,Julio María Sanguinetti; Jorge Batlle Ibáñez; Jorge Pacheco Areco,-990,34644,34644,-990,-990,11837,0.331253166,11837,0.331253166,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Durazno,5,Nacional,27,Alberto Volonté; Juan Andrés Ramírez; Carlos Julio Pereyra,-990,34644,34644,-990,-990,18477,0.51707058,18477,0.51707058,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Durazno,5,FrenteAmplio,13,Tabaré Vázquez,-990,34644,34644,-990,-990,4330,0.121173115,4330,0.121173115,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Flores,6,Colorado,7,Julio María Sanguinetti; Jorge Batlle Ibáñez; Jorge Pacheco Areco,-990,16657,16657,-990,-990,5783,0.336201401,5783,0.336201401,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Flores,6,Nacional,27,Alberto Volonté; Juan Andrés Ramírez; Carlos Julio Pereyra,-990,16657,16657,-990,-990,8490,0.493575974,8490,0.493575974,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Flores,6,FrenteAmplio,13,Tabaré Vázquez,-990,16657,16657,-990,-990,2384,0.138596592,2384,0.138596592,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Florida,7,Colorado,7,Julio María Sanguinetti; Jorge Batlle Ibáñez; Jorge Pacheco Areco,-990,43930,43930,-990,-990,17788,0.388011513,17788,0.388011513,-990,-990,-990,-990,-990,-990,-990,-990,-990
